country_id,indicator_id,Year,Value,Gender
1,6,2005,5672338,
1,6,2006,5937057,
1,6,2007,6089718,
1,6,2008,6273586,
1,6,2009,6563261,
1,6,2010,6822959,
1,6,2011,7148944,
1,6,2012,7518518,
1,6,2013,7857574,
1,6,2014,8229616,
1,6,2015,8575264,
1,6,2016,8883595,
1,6,2017,9223903,
1,6,2018,9215855,
1,6,2019,9194531,
1,6,2020,9060510,
1,6,2021,9183905,
1,6,2022,8617545,
1,6,2023,8866507,
1,6,2024,9132918,
1,7,2005,12.68626872,
1,7,2006,6.78459655,
1,7,2007,8.680570785,
1,7,2008,26.41866415,
1,7,2009,-6.811161089,
1,7,2010,2.178537524,
1,7,2011,11.80418581,
1,7,2012,6.441212809,
1,7,2013,7.385771784,
1,7,2014,4.673996035,
1,7,2015,-0.661709165,
1,7,2016,4.383891955,
1,7,2017,4.975951506,
1,7,2018,0.626149149,
1,7,2019,2.302372515,
1,7,2020,5.601887915,
1,7,2021,5.133203408,
1,7,2022,13.71210237,
1,7,2023,-4.644708708,
1,7,2024,-6.601185641,
1,8,1995,11.47700024,
1,8,1996,11.4989996,
1,8,1997,11.47999954,
1,8,1998,11.47200012,
1,8,1999,11.54699993,
1,8,2000,11.5170002,
1,8,2001,11.51299953,
1,8,2002,11.59599972,
1,8,2003,11.60400009,
1,8,2004,11.52799988,
1,8,2005,11.4289999,
1,8,2006,11.22399998,
1,8,2007,11.04599953,
1,8,2008,10.98499966,
1,8,2009,11.38700008,
1,8,2010,11.48400021,
1,8,2011,11.48799992,
1,8,2012,11.50800037,
1,8,2013,11.5340004,
1,8,2014,11.44799995,
1,8,2015,11.38700008,
1,8,2016,11.31299973,
1,8,2017,11.18400002,
1,8,2018,11.05700016,
1,8,2019,11.11800003,
2,1,1980,1578102105,
2,1,1981,1808177156,
2,1,1982,1861163170,
2,1,1983,1881412587,
2,1,1984,1857337995,
2,1,1985,1897050117,
2,1,1986,2097326250,
2,1,1987,2080796250,
2,1,1988,2051236250,
2,1,1989,2253090000,
